,선수,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연도,포지션,생일
135,김태균,4.17,133,524,408,61,129,28,0,21,220,104,3,1,98,,,,,,,,,,,,,,2015,1B,1982-05-29
136,최형우,4.16,136,555,456,65,137,31,1,17,221,86,0,1,85,,,,,,,,,,,,,,2019,DH,1983-12-16
137,오지환,4.16,121,472,393,73,110,14,5,20,194,78,17,9,65,,,,,,,,,,,,,,2016,SS,1990-03-12
138,오재일,4.14,130,529,467,76,137,29,1,21,231,102,2,1,55,,,,,,,,,,,,,,2019,1B,1986-10-29
139,김현수,4.13,125,528,463,75,149,26,0,17,226,90,2,0,53,,,,,,,,,,,,,,2014,LF,1988-01-12
140,최형우,4.13,144,637,547,94,174,33,1,33,308,123,2,5,73,,,,,,,,,,,,,,2015,LF,1983-12-16
141,김주찬,4.12,130,555,511,97,177,37,3,23,289,101,9,7,30,,,,,,,,,,,,,,2016,LF,1981-03-25
142,이병규,4.10,116,450,360,66,110,28,3,16,192,87,5,10,74,,,,,,,,,,,,,,2014,LF,1983-10-09
143,박민우,4.09,121,515,435,84,149,16,6,3,186,55,20,6,55,,,,,,,,,,,,,,2016,2B,1993-02-06
144,황재균,4.05,124,506,447,78,127,16,3,20,209,67,10,7,52,,,,,,,,,,,,,,2019,3B,1987-07-28
145,김강민,4.05,113,483,430,86,130,29,3,16,213,82,32,5,43,,,,,,,,,,,,,,2014,CF,1982-09-13
146,이재원,4.04,120,484,412,48,139,30,2,12,209,83,3,0,49,,,,,,,,,,,,,,2014,DH,1988-02-24
147,박경수,4.04,121,476,402,64,126,22,1,20,210,80,3,1,65,,,,,,,,,,,,,,2016,2B,1984-03-31
148,오재일,4.03,105,455,380,69,120,20,2,27,225,92,1,0,64,,,,,,,,,,,,,,2016,1B,1986-10-29
149,로맥,4.02,137,589,504,86,139,28,1,29,256,95,6,3,73,,,,,,,,,,,,,,2019,1B,1985-09-30
150,황재균,4.01,144,596,534,95,155,41,2,26,278,97,11,10,48,,,,,,,,,,,,,,2015,3B,1987-07-28
151,최재훈,3.55,135,451,373,47,108,18,0,3,135,31,3,10,56,14,0,61,9,,,,,,,,,,2019,C,1989-08-27
152,오재원,3.55,129,529,466,73,129,18,4,6,173,46,46,7,39,9,0,62,6,,,,,,,,,,2011,2B,1985-02-09
153,한동민,3.53,136,562,486,97,138,31,0,41,292,115,4,2,52,16,3,124,10,,,,,,,,,,2018,RF,1989-08-09
154,나지완,3.53,137,551,459,85,138,20,3,27,245,94,1,1,62,23,0,105,10,,,,,,,,,,2017,DH,1985-05-19
155,민병헌,3.53,101,420,369,52,112,24,2,9,167,43,13,6,42,5,0,55,9,,,,,,,,,,2019,CF,1987-03-10
156,박해민,3.52,144,608,525,96,154,22,7,0,190,47,60,8,56,2,1,126,8,,,,,,,,,,2015,CF,1990-02-24
157,최정,3.52,115,489,406,95,99,16,1,35,222,74,9,2,58,23,2,129,10,,,,,,,,,,2018,3B,1987-02-28
158,김재환,3.52,136,573,494,76,140,20,5,15,215,91,3,1,63,5,5,113,7,,,,,,,,,,2019,LF,1988-09-22
159,서건창,3.51,127,501,433,70,115,21,10,1,159,40,39,12,45,7,0,43,4,,,,,,,,,,2012,2B,1989-08-22
160,호잉,3.51,124,525,476,74,135,26,2,18,219,73,22,7,38,5,5,90,6,,,,,,,,,,2019,RF,1989-05-18
161,정성훈,3.51,127,494,422,61,123,18,1,10,173,57,9,2,49,5,1,69,16,,,,,,,,,,2011,3B,1980-06-27
162,강민호,3.51,130,515,456,62,130,22,1,22,220,68,0,2,41,15,6,104,15,,,,,,,,,,2017,C,1985-08-18
163,오지환,3.50,133,540,462,66,115,22,2,12,177,53,23,14,55,6,4,122,6,,,,,,,,,,2012,SS,1990-03-12
164,양의지,3.49,119,438,376,43,113,14,3,4,145,46,3,3,44,3,2,58,12,,,,,,,,,,2011,C,1987-06-05
165,유한준,3.48,121,480,428,59,145,21,1,20,228,83,1,1,47,2,3,53,9,,,,,,,,,,2018,RF,1981-07-01
166,유한준,3.46,139,562,501,61,159,19,1,14,222,86,3,0,52,4,1,61,20,,,,,,,,,,2019,DH,1981-07-01
167,이택근,3.46,123,536,477,73,137,31,1,9,197,66,29,8,39,7,1,58,15,,,,,,,,,,2013,CF,1980-07-10
168,최진행,3.44,120,471,395,59,98,26,0,17,175,55,6,3,66,6,3,109,11,,,,,,,,,,2012,LF,1985-08-17
169,김동주,3.44,120,483,406,57,116,24,1,17,193,75,6,1,66,8,5,54,18,,,,,,,,,,2011,DH,1976-02-03
170,김강민,3.43,115,450,401,74,127,19,2,10,180,72,23,9,33,2,0,51,5,,,,,,,,,,2010,CF,1982-09-13
171,양의지,3.43,122,416,359,39,100,22,1,5,139,27,1,2,37,10,2,51,17,,,,,,,,,,2012,C,1987-06-05
172,강정호,3.43,123,504,444,53,125,22,2,9,178,63,4,6,43,9,4,62,12,,,,,,,,,,2011,SS,1987-04-05
173,박건우,3.42,125,529,488,79,159,24,6,12,231,84,7,3,28,10,1,65,14,,,,,,,,,,2018,CF,1990-09-08
174,정훈,3.41,135,562,486,85,146,27,2,9,204,62,16,6,52,14,2,102,14,,,,,,,,,,2015,2B,1987-07-18
175,김현수,3.40,122,510,434,63,131,23,1,16,204,90,2,4,62,2,10,71,6,,,,,,,,,,2013,LF,1988-01-12
176,황재균,3.40,142,588,530,76,157,41,3,25,279,88,14,7,49,4,1,120,5,,,,,,,,,,2018,3B,1987-07-28
177,박한이,3.40,128,470,379,64,114,21,2,11,172,63,5,4,73,3,2,54,10,,,,,,,,,,2010,RF,1979-01-28
178,이종욱,3.38,114,471,413,66,129,16,2,5,164,45,30,13,45,4,1,46,3,,,,,,,,,,2010,CF,1980-06-18
179,오지환,3.37,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,,,,,,,,,,2019,SS,1990-03-12
180,김민성,3.37,141,579,510,76,156,39,5,17,256,90,6,3,53,3,3,89,15,,,,,,,,,,2016,3B,1988-12-17
181,민병헌,3.36,123,520,447,73,136,21,0,14,199,71,3,4,47,19,2,74,14,,,,,,,,,,2017,RF,1987-03-10
182,전준우,3.35,110,496,455,76,146,27,1,18,229,69,2,4,30,7,2,70,11,,,,,,,,,,2017,CF,1986-02-25
183,최진행,3.35,127,511,434,63,120,11,1,19,190,85,3,5,61,13,7,107,9,,,,,,,,,,2011,LF,1985-08-17
