,선수,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연도,포지션,생일
39,최정,5.82,141,606,500,106,144,24,1,40,290,106,1,2,77,23.0,2.0,126.0,6.0,0.0,6.0,0.28800000000000003,0.40299999999999997,0.58,0.983,0.425,140.7,5.82,2016,3B,1987-02-28
40,나성범,5.78,125,561,498,103,173,42,2,24,291,99,17,7,48,12.0,10.0,116.0,8.0,0.0,3.0,0.34700000000000003,0.415,0.584,1.0,0.428,154.3,5.78,2017,RF,1989-10-03
41,최정,5.76,113,488,403,64,125,25,1,20,212,75,15,5,46,20.0,1.0,72.0,8.0,13.0,6.0,0.31,0.402,0.526,0.9279999999999999,0.41100000000000003,152.0,5.76,2011,3B,1987-02-28
42,김재환,5.75,134,568,492,107,160,32,3,37,309,124,8,2,71,0.0,3.0,107.0,9.0,0.0,5.0,0.325,0.40700000000000003,0.628,1.035,0.442,162.7,5.75,2016,LF,1988-09-22
43,손아섭,5.73,144,667,576,113,193,35,4,20,296,80,25,8,83,4.0,8.0,96.0,7.0,1.0,3.0,0.335,0.42,0.514,0.934,0.41,140.0,5.73,2017,RF,1988-03-18
44,전준우,5.67,144,614,556,118,190,36,2,33,329,90,7,7,48,7.0,1.0,82.0,12.0,1.0,2.0,0.342,0.4,0.5920000000000001,0.991,0.42100000000000004,146.3,5.67,2018,LF,1986-02-25
45,로하스,5.66,144,645,564,114,172,30,1,43,333,114,18,13,71,7.0,4.0,142.0,10.0,1.0,2.0,0.305,0.38799999999999996,0.59,0.9790000000000001,0.41,138.5,5.66,2018,CF,1990-05-24
46,양의지,5.65,132,513,442,70,144,27,0,20,231,93,5,4,39,24.0,3.0,64.0,7.0,2.0,6.0,0.326,0.405,0.523,0.9279999999999999,0.408,149.1,5.65,2015,C,1987-06-05
47,황재균,5.55,127,559,498,97,167,26,5,27,284,113,25,10,49,4.0,5.0,66.0,10.0,0.0,8.0,0.335,0.39399999999999996,0.57,0.9640000000000001,0.41700000000000004,137.3,5.55,2016,3B,1987-07-28
48,최형우,5.55,113,493,430,92,153,33,0,31,279,100,4,2,50,7.0,1.0,62.0,11.0,0.0,6.0,0.35600000000000004,0.426,0.649,1.075,0.45799999999999996,160.6,5.55,2014,LF,1983-12-16
49,강정호,5.55,126,532,450,67,131,21,1,22,220,96,15,8,68,6.0,3.0,109.0,18.0,2.0,6.0,0.29100000000000004,0.387,0.489,0.8759999999999999,0.39799999999999996,138.0,5.55,2013,SS,1987-04-05
50,이용규,5.54,111,503,421,84,140,16,2,3,169,33,30,6,63,9.0,2.0,33.0,5.0,7.0,3.0,0.33299999999999996,0.42700000000000005,0.401,0.8290000000000001,0.391,137.9,5.54,2011,CF,1985-08-26
51,이범호,5.54,101,405,318,63,96,21,0,17,168,77,2,0,75,7.0,3.0,56.0,8.0,0.0,5.0,0.302,0.44,0.528,0.968,0.44,171.1,5.54,2011,3B,1981-11-25
52,정성훈,5.5,107,438,365,50,113,27,3,12,182,53,3,3,65,1.0,2.0,62.0,13.0,2.0,5.0,0.31,0.41100000000000003,0.499,0.909,0.41600000000000004,164.8,5.5,2012,3B,1980-06-27
53,김태균,5.5,144,652,529,94,193,39,0,23,301,136,1,0,108,9.0,10.0,97.0,11.0,0.0,6.0,0.365,0.47600000000000003,0.569,1.045,0.46299999999999997,165.5,5.5,2016,DH,1982-05-29
54,로하스,5.49,142,576,520,68,167,29,3,24,274,104,4,4,48,3.0,5.0,120.0,4.0,0.0,5.0,0.321,0.379,0.527,0.905,0.405,151.3,5.49,2019,CF,1990-05-24
55,이승엽,5.47,126,556,488,84,150,28,2,21,245,85,6,0,59,4.0,4.0,101.0,10.0,1.0,4.0,0.307,0.384,0.502,0.8859999999999999,0.406,157.5,5.47,2012,1B,1976-08-18
56,박병호,5.46,122,532,432,92,121,22,0,33,242,98,0,1,78,13.0,5.0,117.0,7.0,0.0,9.0,0.28,0.39899999999999997,0.56,0.9590000000000001,0.42200000000000004,165.8,5.46,2019,1B,1986-07-10
57,전준우,5.43,133,601,539,97,162,38,5,11,243,64,23,9,50,7.0,4.0,101.0,14.0,2.0,3.0,0.301,0.366,0.451,0.816,0.375,126.6,5.43,2011,CF,1986-02-25
58,강민호,5.38,124,506,450,63,130,25,2,19,216,66,4,6,47,8.0,2.0,81.0,18.0,0.0,1.0,0.289,0.366,0.48,0.846,0.38799999999999996,135.2,5.38,2011,C,1985-08-18
59,박석민,5.38,135,559,448,90,144,25,0,26,247,116,3,0,83,19.0,0.0,97.0,13.0,1.0,8.0,0.321,0.441,0.551,0.992,0.43700000000000006,156.8,5.38,2015,3B,1985-06-22
60,손아섭,5.3,144,672,575,118,186,33,1,16,269,81,42,4,92,3.0,1.0,104.0,4.0,0.0,2.0,0.32299999999999995,0.418,0.46799999999999997,0.8859999999999999,0.406,131.0,5.3,2016,RF,1988-03-18
61,손아섭,5.3,141,625,553,109,182,32,5,26,302,93,20,3,68,2.0,1.0,99.0,15.0,1.0,1.0,0.32899999999999996,0.40399999999999997,0.546,0.95,0.409,138.6,5.3,2018,RF,1988-03-18
63,김현수,5.24,132,565,473,88,150,29,0,24,251,89,4,8,78,6.0,6.0,64.0,9.0,0.0,8.0,0.317,0.414,0.531,0.945,0.419,152.0,5.24,2010,LF,1988-01-12
64,강민호,5.23,123,456,380,63,118,18,1,35,243,86,0,0,60,14.0,2.0,112.0,14.0,0.0,2.0,0.311,0.42100000000000004,0.639,1.061,0.451,164.9,5.23,2015,C,1985-08-18
66,홍성흔,5.15,111,498,431,88,151,28,1,26,259,116,2,2,54,7.0,3.0,49.0,18.0,1.0,5.0,0.35,0.42700000000000005,0.601,1.028,0.451,171.9,5.15,2010,DH,1977-02-28
67,나성범,5.14,144,622,564,112,184,34,5,28,312,135,23,4,32,15.0,1.0,127.0,9.0,3.0,8.0,0.326,0.373,0.5529999999999999,0.9259999999999999,0.4,136.1,5.14,2015,RF,1989-10-03
70,최정,5.07,123,493,400,84,120,31,1,20,213,80,12,4,49,20.0,0.0,72.0,7.0,16.0,8.0,0.3,0.396,0.5329999999999999,0.929,0.4,138.8,5.07,2010,3B,1987-02-28
71,강민호,5.04,117,465,410,66,125,19,1,23,215,72,2,7,42,8.0,1.0,65.0,16.0,0.0,5.0,0.305,0.376,0.524,0.9009999999999999,0.4,138.5,5.04,2010,C,1985-08-18
72,강민호,5.0,116,460,381,65,123,26,0,20,209,72,4,0,66,10.0,4.0,91.0,7.0,0.0,3.0,0.32299999999999995,0.433,0.5489999999999999,0.981,0.434,147.7,5.0,2016,C,1985-08-18
73,강민호,5.0,119,454,400,41,109,21,0,19,187,66,0,1,44,8.0,2.0,97.0,9.0,0.0,2.0,0.273,0.355,0.46799999999999997,0.8220000000000001,0.38,139.2,5.0,2012,C,1985-08-18
74,구자욱,4.99,116,465,410,97,143,33,5,11,219,57,17,7,45,6.0,0.0,79.0,3.0,0.0,4.0,0.349,0.41700000000000004,0.534,0.951,0.42200000000000004,148.4,4.99,2015,1B,1993-02-12
75,안치홍,4.98,130,549,494,88,169,38,1,23,278,118,5,1,36,10.0,1.0,57.0,13.0,0.0,9.0,0.342,0.392,0.563,0.9540000000000001,0.40700000000000003,140.3,4.98,2018,2B,1990-07-02
76,이용규,4.96,124,585,493,94,168,15,7,4,209,42,28,10,68,9.0,5.0,45.0,4.0,11.0,4.0,0.341,0.42700000000000005,0.424,0.851,0.386,119.6,4.96,2015,CF,1985-08-26
77,김선빈,4.96,137,529,476,84,176,34,1,5,227,64,4,4,39,5.0,4.0,40.0,10.0,5.0,4.0,0.37,0.42,0.47700000000000004,0.897,0.39899999999999997,134.0,4.96,2017,SS,1989-12-18
78,구자욱,4.96,144,647,564,108,175,39,10,21,297,107,10,4,63,10.0,1.0,138.0,1.0,0.0,10.0,0.31,0.38299999999999995,0.527,0.91,0.39399999999999996,130.6,4.96,2017,RF,1993-02-12
79,박용택,4.95,125,539,476,79,156,22,4,7,207,67,13,8,52,4.0,1.0,71.0,5.0,0.0,7.0,0.32799999999999996,0.39299999999999996,0.435,0.828,0.38799999999999996,131.6,4.95,2013,CF,1979-04-21
80,최형우,4.94,143,609,528,92,179,34,1,25,290,103,3,0,66,7.0,7.0,87.0,17.0,0.0,8.0,0.33899999999999997,0.414,0.5489999999999999,0.963,0.41100000000000003,143.4,4.94,2018,LF,1983-12-16
81,김하성,4.94,140,582,511,89,148,35,5,19,250,73,22,4,56,5.0,2.0,115.0,10.0,4.0,6.0,0.29,0.36200000000000004,0.489,0.851,0.37200000000000005,112.9,4.94,2015,SS,1995-10-17
82,김태균,4.94,118,508,422,66,154,30,0,18,238,84,0,2,70,11.0,1.0,73.0,18.0,0.0,5.0,0.365,0.46299999999999997,0.564,1.0270000000000001,0.456,158.8,4.94,2014,1B,1982-05-29
83,손아섭,4.93,116,492,442,79,144,25,5,15,224,83,13,4,43,2.0,1.0,80.0,6.0,1.0,4.0,0.326,0.385,0.507,0.892,0.40700000000000003,147.9,4.93,2011,RF,1988-03-18
84,정근우,4.91,126,552,468,99,148,30,2,12,218,66,21,6,61,8.0,1.0,66.0,14.0,13.0,2.0,0.316,0.40299999999999997,0.466,0.868,0.384,119.2,4.91,2015,2B,1982-10-02
85,최형우,4.91,128,573,511,80,156,28,0,29,271,98,2,1,47,7.0,1.0,91.0,5.0,0.0,8.0,0.305,0.36700000000000005,0.53,0.897,0.40399999999999997,142.6,4.91,2013,LF,1983-12-16
86,김하성,4.91,141,601,526,90,159,36,3,23,270,114,16,8,58,8.0,2.0,65.0,8.0,2.0,7.0,0.302,0.376,0.513,0.889,0.385,125.4,4.91,2017,SS,1995-10-17
87,박석민,4.9,112,457,356,58,108,18,0,15,171,64,3,2,76,15.0,4.0,84.0,14.0,5.0,5.0,0.303,0.44,0.48,0.9209999999999999,0.415,148.8,4.9,2010,3B,1985-06-22
88,이정후,4.88,140,630,574,91,193,31,10,6,262,68,13,7,45,4.0,0.0,40.0,15.0,3.0,4.0,0.336,0.386,0.456,0.8420000000000001,0.386,135.1,4.88,2019,LF,1998-08-20
91,양의지,4.81,108,392,332,66,106,17,0,22,189,66,2,0,40,12.0,1.0,29.0,20.0,1.0,7.0,0.319,0.40399999999999997,0.569,0.973,0.42200000000000004,149.6,4.81,2016,C,1987-06-05
92,김현수,4.79,117,511,453,95,164,39,2,20,267,101,1,3,47,1.0,6.0,61.0,9.0,0.0,10.0,0.36200000000000004,0.415,0.589,1.004,0.424,155.2,4.79,2018,LF,1988-01-12
93,강정호,4.79,133,522,449,60,135,30,2,12,205,58,2,2,61,7.0,6.0,87.0,14.0,3.0,2.0,0.301,0.391,0.457,0.848,0.38299999999999995,127.6,4.79,2010,SS,1987-04-05
95,박석민,4.78,126,506,427,77,131,20,0,32,247,104,2,0,56,16.0,2.0,95.0,18.0,2.0,4.0,0.307,0.40399999999999997,0.578,0.982,0.424,144.1,4.78,2016,3B,1985-06-22
96,강백호,4.74,117,504,437,72,147,29,1,13,217,65,9,5,61,2.0,4.0,87.0,11.0,0.0,4.0,0.336,0.41700000000000004,0.49700000000000005,0.9129999999999999,0.415,157.4,4.74,2019,RF,1999-07-29
97,채은성,4.73,139,578,529,78,175,36,2,25,290,119,3,1,35,9.0,1.0,97.0,12.0,0.0,5.0,0.331,0.379,0.5479999999999999,0.927,0.396,137.5,4.73,2018,RF,1990-02-06
98,박민우,4.72,125,526,468,89,161,23,8,1,203,45,18,7,41,9.0,1.0,40.0,10.0,2.0,6.0,0.344,0.40299999999999997,0.434,0.836,0.387,135.8,4.72,2019,2B,1993-02-06
99,박민우,4.71,106,452,388,84,141,25,4,3,183,47,11,1,46,11.0,0.0,51.0,8.0,3.0,4.0,0.363,0.441,0.47200000000000003,0.9129999999999999,0.41200000000000003,145.5,4.71,2017,2B,1993-02-06
101,박건우,4.68,127,537,458,83,146,27,5,10,213,64,12,3,60,7.0,0.0,57.0,23.0,1.0,11.0,0.319,0.397,0.465,0.863,0.39399999999999996,144.3,4.68,2019,RF,1990-09-08
102,정성훈,4.66,121,477,407,64,127,22,1,9,178,62,13,6,59,7.0,0.0,58.0,12.0,0.0,4.0,0.312,0.405,0.43700000000000006,0.8420000000000001,0.396,137.7,4.66,2013,3B,1980-06-27
103,최주환,4.66,138,590,519,87,173,39,6,26,302,108,1,0,51,10.0,1.0,89.0,5.0,0.0,10.0,0.33299999999999996,0.397,0.5820000000000001,0.9790000000000001,0.413,148.6,4.66,2018,DH,1988-02-28
104,박석민,4.65,128,537,457,74,127,24,3,15,202,86,3,1,59,13.0,1.0,105.0,13.0,5.0,3.0,0.278,0.374,0.442,0.816,0.376,127.6,4.65,2011,3B,1985-06-22
105,박경수,4.57,137,537,440,75,125,30,1,22,223,73,6,4,74,13.0,1.0,115.0,8.0,6.0,4.0,0.284,0.39899999999999997,0.507,0.9059999999999999,0.397,131.0,4.57,2015,2B,1984-03-31
106,안치홍,4.55,126,479,434,65,147,31,2,18,236,88,19,6,33,6.0,1.0,65.0,11.0,2.0,4.0,0.33899999999999997,0.39,0.544,0.934,0.408,133.4,4.55,2014,2B,1990-07-02
108,민병헌,4.54,124,527,470,85,162,31,3,12,235,79,16,8,37,6.0,0.0,63.0,11.0,8.0,6.0,0.345,0.395,0.5,0.895,0.39399999999999996,130.3,4.54,2014,RF,1987-03-10
109,박석민,4.52,110,425,356,77,112,21,0,27,214,72,0,1,54,12.0,3.0,62.0,12.0,0.0,3.0,0.315,0.419,0.601,1.02,0.43799999999999994,147.7,4.52,2014,3B,1985-06-22
110,박건우,4.51,132,540,484,95,162,36,4,20,266,83,17,6,38,9.0,0.0,86.0,9.0,4.0,5.0,0.335,0.39,0.55,0.94,0.41100000000000003,137.7,4.51,2016,RF,1990-09-08
111,나성범,4.51,144,620,556,110,177,36,3,23,288,91,15,2,44,15.0,4.0,131.0,11.0,0.0,5.0,0.318,0.381,0.518,0.899,0.387,126.6,4.51,2018,RF,1989-10-03
112,이용규,4.5,125,580,491,86,139,14,2,2,163,37,44,12,66,10.0,0.0,38.0,9.0,10.0,3.0,0.28300000000000003,0.377,0.332,0.7090000000000001,0.34,111.3,4.5,2012,CF,1985-08-26
113,박용택,4.49,124,549,464,71,159,24,2,9,214,73,11,9,75,1.0,3.0,65.0,15.0,2.0,7.0,0.34299999999999997,0.43,0.461,0.8909999999999999,0.405,136.1,4.49,2014,CF,1979-04-21
114,서건창,4.46,140,646,560,111,182,30,7,7,247,63,26,13,69,10.0,2.0,58.0,6.0,3.0,4.0,0.325,0.406,0.441,0.847,0.389,116.6,4.46,2016,2B,1989-08-22
115,이호준,4.45,127,504,426,55,128,26,0,18,208,78,3,3,72,5.0,5.0,90.0,10.0,0.0,1.0,0.3,0.40700000000000003,0.488,0.895,0.414,163.1,4.45,2012,DH,1976-02-08
116,오지환,4.44,138,566,497,76,138,41,4,11,220,56,25,10,59,4.0,1.0,121.0,2.0,3.0,3.0,0.278,0.35700000000000004,0.44299999999999995,0.8,0.35700000000000004,110.3,4.44,2015,SS,1990-03-12
117,박민우,4.42,141,617,520,111,158,31,6,3,210,47,46,16,73,14.0,0.0,108.0,4.0,3.0,7.0,0.304,0.39899999999999997,0.40399999999999997,0.8029999999999999,0.371,116.8,4.42,2015,2B,1993-02-06
118,나성범,4.42,144,653,572,116,177,37,2,22,284,113,7,4,67,9.0,2.0,136.0,4.0,1.0,4.0,0.309,0.38799999999999996,0.49700000000000005,0.885,0.395,125.9,4.42,2016,RF,1989-10-03
119,안치홍,4.39,132,545,487,95,154,29,2,21,250,93,7,0,43,4.0,1.0,70.0,19.0,6.0,5.0,0.316,0.373,0.513,0.8859999999999999,0.382,123.0,4.39,2017,2B,1990-07-02
120,정근우,4.37,138,650,575,121,178,31,2,18,267,88,22,6,60,9.0,2.0,58.0,14.0,1.0,5.0,0.31,0.381,0.46399999999999997,0.845,0.381,112.5,4.37,2016,2B,1982-10-02
121,이병규,4.36,127,519,485,64,164,24,0,16,236,75,2,1,28,2.0,1.0,47.0,10.0,2.0,2.0,0.33799999999999997,0.375,0.48700000000000004,0.862,0.396,141.5,4.36,2011,LF,1974-10-25
122,이범호,4.36,138,560,484,93,150,23,0,33,272,108,1,1,60,9.0,7.0,57.0,15.0,0.0,7.0,0.31,0.391,0.562,0.953,0.41100000000000003,132.9,4.36,2016,3B,1981-11-25
123,채태인,4.34,94,342,299,52,114,15,0,11,162,53,4,0,38,5.0,1.0,70.0,9.0,0.0,0.0,0.381,0.45899999999999996,0.542,1.001,0.46299999999999997,183.0,4.34,2013,1B,1982-10-11
124,조성환,4.33,111,458,414,83,139,31,0,8,194,52,8,2,35,4.0,1.0,58.0,8.0,2.0,3.0,0.336,0.39,0.469,0.8590000000000001,0.391,132.2,4.33,2010,2B,1976-12-23
125,이용규,4.31,113,530,452,98,159,20,4,3,196,41,21,11,63,7.0,1.0,29.0,7.0,7.0,1.0,0.35200000000000004,0.43799999999999994,0.434,0.872,0.40399999999999997,128.1,4.31,2016,CF,1985-08-26
126,최형우,4.27,121,506,420,71,117,29,1,24,220,97,4,0,71,8.0,5.0,91.0,13.0,2.0,5.0,0.27899999999999997,0.389,0.524,0.9129999999999999,0.401,139.3,4.27,2010,LF,1983-12-16
128,민병헌,4.24,134,579,511,98,166,31,4,16,253,87,9,2,48,15.0,1.0,91.0,18.0,1.0,4.0,0.325,0.396,0.495,0.8909999999999999,0.4,129.5,4.24,2016,RF,1987-03-10
129,전준우,4.24,141,606,545,85,164,30,1,22,262,83,8,2,46,7.0,2.0,71.0,19.0,1.0,7.0,0.301,0.359,0.48100000000000004,0.8390000000000001,0.379,130.6,4.24,2019,LF,1986-02-25
130,나지완,4.23,125,522,435,57,125,18,0,21,206,96,7,3,62,18.0,1.0,111.0,12.0,1.0,5.0,0.287,0.39399999999999996,0.474,0.868,0.4,139.6,4.23,2013,LF,1985-05-19
131,이재원,4.21,130,471,407,63,134,24,0,17,209,57,0,0,43,12.0,0.0,65.0,13.0,4.0,5.0,0.32899999999999996,0.405,0.514,0.9179999999999999,0.397,130.6,4.21,2018,C,1988-02-24
132,김현수,4.2,130,561,475,71,143,25,2,13,211,91,5,3,71,6.0,9.0,63.0,15.0,0.0,9.0,0.301,0.392,0.444,0.836,0.384,133.4,4.2,2011,LF,1988-01-12
133,서건창,4.2,139,615,539,87,179,28,3,6,231,76,15,6,67,1.0,1.0,68.0,11.0,2.0,6.0,0.332,0.40299999999999997,0.429,0.8320000000000001,0.37799999999999995,118.2,4.2,2017,2B,1989-08-22
135,김태균,4.17,133,524,408,61,129,28,0,21,220,104,3,1,98,12.0,12.0,80.0,19.0,1.0,5.0,0.316,0.457,0.539,0.996,0.436,153.7,4.17,2015,1B,1982-05-29
136,최형우,4.16,136,555,456,65,137,31,1,17,221,86,0,1,85,7.0,6.0,77.0,13.0,0.0,7.0,0.3,0.413,0.485,0.897,0.406,150.3,4.16,2019,DH,1983-12-16
137,오지환,4.16,121,472,393,73,110,14,5,20,194,78,17,9,65,7.0,0.0,97.0,7.0,2.0,5.0,0.28,0.387,0.494,0.8809999999999999,0.391,126.6,4.16,2016,SS,1990-03-12
138,오재일,4.14,130,529,467,76,137,29,1,21,231,102,2,1,55,3.0,1.0,99.0,5.0,0.0,4.0,0.293,0.369,0.495,0.863,0.39,145.1,4.14,2019,1B,1986-10-29
139,김현수,4.13,125,528,463,75,149,26,0,17,226,90,2,0,53,7.0,5.0,45.0,10.0,0.0,5.0,0.322,0.396,0.488,0.884,0.39299999999999996,132.2,4.13,2014,LF,1988-01-12
140,최형우,4.13,144,637,547,94,174,33,1,33,308,123,2,5,73,9.0,7.0,101.0,13.0,0.0,8.0,0.318,0.402,0.563,0.965,0.41600000000000004,143.3,4.13,2015,LF,1983-12-16
141,김주찬,4.12,130,555,511,97,177,37,3,23,289,101,9,7,30,7.0,1.0,68.0,13.0,1.0,6.0,0.34600000000000003,0.386,0.5660000000000001,0.9520000000000001,0.415,135.8,4.12,2016,LF,1981-03-25
142,이병규,4.1,116,450,360,66,110,28,3,16,192,87,5,10,74,5.0,2.0,78.0,7.0,3.0,8.0,0.306,0.423,0.5329999999999999,0.956,0.41700000000000004,148.1,4.1,2014,LF,1983-10-09
143,박민우,4.09,121,515,435,84,149,16,6,3,186,55,20,6,55,8.0,1.0,70.0,9.0,10.0,7.0,0.34299999999999997,0.42,0.428,0.847,0.387,122.1,4.09,2016,2B,1993-02-06
