,선수,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연도,포지션,생일,연봉,나이
40,강정호,8.23,124,519,436,77,137,32,0,25,244,82,21,5,71,6.0,8.0,78.0,16.0,1.0,5.0,0.314,0.413,0.56,0.973,0.438,179.8,8.23,2012,SS,1987-04-05,30000,26
41,강지광,-0.26,40,80,66,10,13,2,0,1,18,7,1,3,11,1.0,0.0,24.0,1.0,1.0,1.0,0.197,0.317,0.273,0.589,0.28600000000000003,50.7,-0.26,2016,LF,1990-10-23,3000,27
42,강진성,-0.38,45,75,68,5,16,3,0,0,19,1,0,0,4,0.0,0.0,17.0,3.0,2.0,1.0,0.235,0.274,0.279,0.5529999999999999,0.248,35.2,-0.38,2018,LF,1993-10-19,3000,26
43,강진성,0.19,41,104,97,11,24,4,1,2,36,14,2,1,3,4.0,0.0,20.0,6.0,0.0,0.0,0.247,0.298,0.371,0.669,0.311,83.5,0.19,2019,LF,1993-10-19,3800,27
44,강한울,-0.28,83,209,193,20,50,5,2,0,59,8,3,4,12,1.0,0.0,34.0,1.0,3.0,0.0,0.259,0.306,0.306,0.612,0.279,55.0,-0.28,2018,2B,1991-09-12,9000,28
45,강한울,1.02,135,448,412,58,125,9,3,0,140,24,12,7,26,0.0,0.0,57.0,4.0,9.0,1.0,0.303,0.344,0.34,0.684,0.312,77.8,1.02,2017,SS,1991-09-12,9000,27
46,강한울,-0.04,93,224,208,32,55,5,4,0,68,14,4,2,8,1.0,0.0,44.0,1.0,6.0,1.0,,,,,,,-0.04,2014,SS,1991-09-12,6000,24
47,강한울,-0.18,104,322,298,36,81,13,3,0,100,27,7,3,15,0.0,0.0,46.0,2.0,9.0,0.0,0.272,0.307,0.336,0.642,0.29100000000000004,55.3,-0.18,2016,SS,1991-09-12,9000,26
48,고동진,1.18,110,334,281,32,76,12,0,3,97,29,8,9,38,5.0,1.0,48.0,10.0,10.0,0.0,0.27,0.3670000000000001,0.345,0.713,0.334,107.0,1.18,2012,RF,1980-04-01,8000,33
49,고동진,0.45,93,360,312,31,85,14,0,1,102,31,4,8,34,6.0,0.0,54.0,11.0,3.0,5.0,0.272,0.35,0.327,0.677,0.326,88.8,0.45,2013,RF,1980-04-01,10000,34
50,고동진,0.66,97,222,195,31,49,9,0,3,67,19,3,2,15,5.0,0.0,33.0,5.0,6.0,1.0,0.251,0.319,0.344,0.6629999999999999,0.308,81.4,0.66,2011,CF,1980-04-01,7000,32
51,고명성,-0.17,30,18,16,4,2,0,0,0,2,0,0,0,2,0.0,0.0,7.0,1.0,0.0,0.0,0.125,0.222,0.125,0.34700000000000003,0.185,-1.3,-0.17,2019,SS,1999-04-16,"900,000-",21
53,고영민,0.2,93,208,176,31,37,5,1,3,53,16,6,6,18,7.0,0.0,50.0,4.0,5.0,2.0,0.21,0.305,0.301,0.607,0.287,67.0,0.2,2011,2B,1984-02-08,8000,28
54,고영민,0.74,100,344,293,53,60,10,1,6,90,35,11,3,34,14.0,1.0,67.0,4.0,2.0,1.0,0.205,0.316,0.307,0.623,0.297,70.0,0.74,2010,2B,1984-02-08,9500,27
55,고영민,0.28,52,108,94,18,27,2,0,1,32,7,1,1,11,0.0,0.0,18.0,3.0,1.0,2.0,0.287,0.355,0.34,0.696,0.325,81.7,0.28,2014,2B,1984-02-08,15000,31
56,고영민,1.25,58,173,151,33,40,10,1,3,61,26,7,1,13,3.0,0.0,28.0,5.0,5.0,0.0,0.265,0.335,0.404,0.7390000000000001,0.336,108.5,1.25,2012,2B,1984-02-08,7500,29
57,고영민,0.68,41,77,67,13,22,1,0,3,32,11,4,2,6,3.0,0.0,22.0,4.0,0.0,1.0,0.328,0.403,0.478,0.88,0.397,138.8,0.68,2015,1B,1984-02-08,15000,32
58,고종욱,0.3,54,111,105,12,26,5,4,1,42,9,7,6,5,0.0,0.0,26.0,0.0,0.0,1.0,0.248,0.279,0.4,0.679,0.309,82.2,0.3,2011,CF,1989-01-11,2900,23
59,고종욱,-0.3,102,351,330,47,92,22,0,6,132,54,17,4,15,1.0,1.0,96.0,2.0,1.0,4.0,0.279,0.309,0.4,0.7090000000000001,0.309,74.1,-0.3,2018,LF,1989-01-11,11000,30
60,고종욱,1.82,123,453,426,70,133,24,8,8,197,54,16,4,22,3.0,2.0,92.0,11.0,0.0,2.0,0.312,0.349,0.462,0.8109999999999999,0.35700000000000004,104.2,1.82,2017,LF,1989-01-11,11000,29
61,고종욱,2.26,137,513,492,76,159,25,7,3,207,56,31,10,18,1.0,1.0,89.0,5.0,0.0,2.0,0.32299999999999995,0.34700000000000003,0.421,0.768,0.353,115.5,2.26,2019,LF,1989-01-11,17000,31
62,고종욱,2.36,133,566,527,92,176,22,9,8,240,72,28,14,28,5.0,1.0,103.0,10.0,1.0,5.0,0.334,0.37,0.455,0.825,0.373,105.4,2.36,2016,LF,1989-01-11,12000,28
63,고종욱,1.09,119,443,407,81,126,25,4,10,189,51,22,14,25,6.0,1.0,81.0,10.0,4.0,1.0,0.31,0.358,0.464,0.8220000000000001,0.364,108.7,1.09,2015,LF,1989-01-11,7700,27
64,구본혁,-0.28,57,95,85,10,15,1,0,1,19,6,2,1,6,2.0,0.0,17.0,0.0,1.0,1.0,0.17600000000000002,0.245,0.224,0.468,0.226,29.0,-0.28,2019,3B,1997-01-11,4000,23
65,구자욱,3.96,108,495,428,105,147,19,13,14,234,77,10,5,55,5.0,1.0,68.0,4.0,2.0,5.0,0.343,0.42,0.547,0.967,0.4270000000000001,142.5,3.96,2016,1B,1993-02-12,16000,24
66,구자욱,3.91,116,529,478,100,159,26,5,20,255,84,10,0,43,5.0,2.0,110.0,4.0,1.0,2.0,0.333,0.392,0.5329999999999999,0.926,0.398,131.9,3.91,2018,RF,1993-02-12,25000,26
67,구자욱,4.96,144,647,564,108,175,39,10,21,297,107,10,4,63,10.0,1.0,138.0,1.0,0.0,10.0,0.31,0.383,0.527,0.91,0.394,130.6,4.96,2017,RF,1993-02-12,25000,25
68,구자욱,1.95,122,526,475,66,127,27,6,15,211,71,11,3,38,7.0,2.0,88.0,5.0,0.0,6.0,0.267,0.327,0.444,0.7709999999999999,0.348,107.6,1.95,2019,RF,1993-02-12,28000,27
69,구자욱,4.99,116,465,410,97,143,33,5,11,219,57,17,7,45,6.0,0.0,79.0,3.0,0.0,4.0,0.349,0.417,0.534,0.951,0.422,148.4,4.99,2015,1B,1993-02-12,8000,23
70,국해성,0.55,58,174,151,28,42,11,0,4,65,24,1,1,21,1.0,0.0,36.0,1.0,0.0,1.0,0.278,0.368,0.43,0.7979999999999999,0.365,107.0,0.55,2016,RF,1989-10-08,5000,28
71,국해성,-0.15,57,96,86,15,18,3,0,3,30,17,0,0,5,4.0,0.0,23.0,2.0,0.0,1.0,,,,,,,-0.15,2017,RF,1989-10-08,5000,29
72,권도영,-0.02,37,72,61,7,15,3,0,0,18,4,0,1,7,0.0,0.0,15.0,1.0,4.0,0.0,,,,,,,-0.02,2010,2B,1981-02-11,2800,30
73,권용관,-0.03,61,180,154,14,35,6,1,3,52,21,2,2,14,1.0,0.0,34.0,2.0,9.0,2.0,,,,,,,-0.03,2010,2B,1976-11-19,7600,35
74,권용관,0.56,68,122,104,19,24,6,0,4,42,13,1,0,12,1.0,0.0,29.0,1.0,5.0,0.0,0.231,0.316,0.404,0.72,0.322,85.9,0.56,2013,SS,1976-11-19,8000,38
75,권용관,0.06,40,49,44,7,11,2,1,0,15,3,0,0,2,2.0,0.0,12.0,2.0,1.0,0.0,0.25,0.313,0.341,0.653,0.3,,0.06,2016,SS,1976-11-19,8000,41
76,권정웅,0.22,60,112,99,11,21,3,0,6,42,11,0,0,8,1.0,0.0,31.0,4.0,4.0,0.0,0.212,0.278,0.424,0.7020000000000001,0.294,62.1,0.22,2017,C,1992-11-15,3000,26
77,권희동,0.23,121,397,349,42,71,19,1,15,137,54,4,1,36,2.0,0.0,75.0,6.0,7.0,3.0,0.203,0.28,0.393,0.672,0.303,73.5,0.23,2013,RF,1990-12-30,5100,24
78,권희동,1.33,116,413,348,37,89,17,0,6,124,41,3,0,50,7.0,1.0,60.0,10.0,5.0,3.0,0.256,0.358,0.35600000000000004,0.7140000000000001,0.334,100.0,1.33,2019,RF,1990-12-30,13500,30
79,권희동,2.42,141,554,472,72,135,20,2,19,216,86,3,3,51,17.0,1.0,90.0,12.0,7.0,7.0,0.28600000000000003,0.371,0.458,0.8290000000000001,0.363,110.9,2.42,2017,LF,1990-12-30,13000,28
80,권희동,1.11,101,252,221,39,63,10,2,7,98,36,6,1,25,3.0,2.0,43.0,4.0,1.0,2.0,0.285,0.363,0.443,0.8059999999999999,0.359,100.8,1.11,2014,LF,1990-12-30,5100,25
81,권희동,0.92,104,391,343,43,97,19,1,8,142,57,1,3,35,4.0,2.0,58.0,5.0,5.0,4.0,0.28300000000000003,0.35200000000000004,0.414,0.7659999999999999,0.335,92.3,0.92,2018,LF,1990-12-30,13000,29
82,김강민,4.05,113,483,430,86,130,29,3,16,213,82,32,5,43,4.0,0.0,91.0,12.0,2.0,4.0,0.302,0.368,0.495,0.863,0.38,117.3,4.05,2014,CF,1982-09-13,60000,33
83,김강민,3.35,105,397,352,39,106,22,3,10,164,55,10,6,36,4.0,2.0,54.0,10.0,2.0,3.0,0.301,0.37,0.466,0.836,0.382,127.0,3.35,2013,CF,1982-09-13,30000,32
84,김강민,1.71,80,267,235,40,70,14,0,14,126,46,10,6,22,5.0,0.0,57.0,1.0,5.0,0.0,0.298,0.37,0.536,0.906,0.381,119.1,1.71,2018,CF,1982-09-13,60000,37
85,김강민,1.03,96,328,293,43,72,17,0,4,101,31,7,4,23,7.0,0.0,83.0,6.0,4.0,1.0,0.246,0.315,0.345,0.66,0.302,72.9,1.03,2015,CF,1982-09-13,60000,34
86,김강민,1.88,123,474,427,49,116,20,0,5,151,31,11,10,29,4.0,0.0,72.0,7.0,11.0,3.0,0.272,0.322,0.354,0.675,0.314,92.6,1.88,2012,CF,1982-09-13,20000,31
87,김강민,3.43,115,450,401,74,127,19,2,10,180,72,23,9,33,2.0,0.0,51.0,5.0,11.0,3.0,0.317,0.369,0.449,0.818,0.365,115.3,3.43,2010,CF,1982-09-13,20000,29
88,김강민,1.63,127,460,422,54,114,14,2,8,156,50,15,8,31,4.0,3.0,103.0,2.0,0.0,3.0,0.27,0.324,0.37,0.6940000000000001,0.321,90.7,1.63,2019,CF,1982-09-13,35000,38
89,김강민,2.19,115,422,366,59,109,21,0,10,160,47,12,5,32,12.0,2.0,89.0,5.0,10.0,2.0,0.298,0.371,0.4370000000000001,0.809,0.36,100.7,2.19,2016,CF,1982-09-13,60000,35
90,김강민,0.02,88,203,183,31,40,5,1,5,62,18,10,4,15,5.0,0.0,50.0,3.0,0.0,0.0,0.219,0.29600000000000004,0.339,0.634,0.29,,0.02,2017,CF,1982-09-13,60000,36
91,김강민,1.9,80,310,281,37,79,14,1,8,119,33,9,4,20,2.0,1.0,56.0,3.0,5.0,2.0,0.281,0.331,0.423,0.755,0.343,105.0,1.9,2011,CF,1982-09-13,19000,30
92,김경언,1.09,70,249,214,24,59,14,1,1,78,24,2,5,26,3.0,0.0,53.0,5.0,1.0,5.0,0.276,0.355,0.364,0.7190000000000001,0.341,99.1,1.09,2013,CF,1982-12-07,5800,32
93,김경언,1.69,89,355,300,43,94,16,3,8,140,52,1,3,40,4.0,0.0,42.0,8.0,7.0,4.0,0.313,0.397,0.467,0.863,0.382,110.4,1.69,2014,RF,1982-12-07,20000,33
94,김경언,0.52,81,204,173,22,42,4,0,2,52,15,5,5,25,1.0,0.0,39.0,3.0,4.0,1.0,0.243,0.34,0.301,0.6409999999999999,0.308,81.7,0.52,2011,CF,1982-12-07,4000,30
95,김경언,1.73,110,313,268,25,65,14,2,4,95,31,7,4,39,1.0,2.0,73.0,1.0,4.0,1.0,0.243,0.34,0.354,0.6940000000000001,0.326,101.2,1.73,2012,CF,1982-12-07,5000,31
96,김경언,0.63,50,184,158,19,40,7,2,0,51,11,8,4,23,0.0,1.0,29.0,2.0,2.0,1.0,0.253,0.34600000000000003,0.32299999999999995,0.669,0.315,82.3,0.63,2010,CF,1982-12-07,3500,29
97,김경언,0.27,38,118,105,17,26,7,0,5,48,17,1,0,12,1.0,0.0,27.0,1.0,0.0,0.0,0.248,0.331,0.457,0.7879999999999999,0.34600000000000003,96.7,0.27,2017,RF,1982-12-07,20000,36
98,김경언,2.76,107,437,377,58,127,21,1,16,198,78,1,3,50,2.0,3.0,89.0,9.0,5.0,3.0,0.337,0.414,0.525,0.94,0.411,136.4,2.76,2015,RF,1982-12-07,20000,34
99,김경언,0.26,66,217,182,23,48,6,1,5,71,25,3,0,28,2.0,0.0,46.0,7.0,2.0,3.0,0.264,0.363,0.39,0.753,0.34600000000000003,90.0,0.26,2016,RF,1982-12-07,20000,35
101,김규민,0.79,104,336,298,47,88,9,2,3,110,40,8,4,27,6.0,0.0,89.0,3.0,1.0,4.0,0.295,0.361,0.369,0.73,0.333,90.1,0.79,2018,LF,1993-01-26,2900,26
102,김규민,0.28,94,250,222,33,55,8,1,3,74,24,2,4,22,4.0,0.0,68.0,4.0,0.0,2.0,0.248,0.324,0.333,0.657,0.312,86.0,0.28,2019,LF,1993-01-26,2900,27
103,김다원,-0.4,45,60,56,9,8,0,0,2,14,2,1,0,2,2.0,0.0,19.0,2.0,0.0,0.0,0.14300000000000002,0.2,0.25,0.45,0.211,12.2,-0.4,2010,RF,1985-09-17,3000,26
104,김다원,0.42,86,210,189,21,51,13,1,5,81,17,2,2,12,5.0,0.0,53.0,3.0,3.0,1.0,0.27,0.329,0.429,0.757,0.335,84.7,0.42,2014,RF,1985-09-17,7000,30
105,김다원,0.06,108,274,245,31,60,9,0,5,84,30,1,0,15,12.0,0.0,67.0,8.0,0.0,2.0,0.245,0.318,0.343,0.66,0.307,70.4,0.06,2015,LF,1985-09-17,7000,31
106,김대륙,-0.5,50,58,53,4,8,2,0,0,10,2,0,0,2,2.0,0.0,17.0,0.0,1.0,0.0,0.151,0.211,0.189,0.399,0.19,-5.3,-0.5,2017,SS,1992-04-03,3400,26
107,김대륙,-0.24,58,59,49,5,7,1,2,0,12,5,0,0,5,3.0,0.0,20.0,0.0,1.0,1.0,0.14300000000000002,0.259,0.245,0.504,0.241,26.3,-0.24,2016,SS,1992-04-03,3400,25
108,김대우,0.73,69,216,180,23,43,15,2,4,74,27,4,3,33,2.0,1.0,66.0,4.0,0.0,1.0,0.239,0.361,0.411,0.772,0.361,112.7,0.73,2013,DH,1984-07-26,3500,30
109,김도환,0.1,61,106,93,7,19,6,0,2,31,7,0,0,8,0.0,0.0,36.0,0.0,4.0,1.0,0.204,0.265,0.333,0.598,0.266,52.0,0.1,2019,C,2000-04-14,5000,20
110,김동엽,-0.06,124,446,421,58,106,15,0,27,202,76,11,2,17,4.0,0.0,108.0,13.0,1.0,3.0,,,,,,,-0.06,2018,LF,1990-07-24,11500,29
111,김동엽,0.56,57,150,143,19,48,8,0,6,74,23,2,1,5,1.0,0.0,41.0,3.0,0.0,1.0,0.336,0.36,0.517,0.878,0.388,118.6,0.56,2016,DH,1990-07-24,4700,27
112,김동엽,1.46,125,428,393,58,109,18,1,22,195,70,2,4,23,9.0,1.0,62.0,6.0,0.0,3.0,0.277,0.329,0.496,0.826,0.35600000000000004,103.6,1.46,2017,LF,1990-07-24,11500,28
113,김동주,3.44,120,483,406,57,116,24,1,17,193,75,6,1,66,8.0,5.0,54.0,18.0,0.0,3.0,0.28600000000000003,0.393,0.475,0.8690000000000001,0.398,143.3,3.44,2011,DH,1976-02-03,70000,36
114,김동주,3.21,110,470,387,60,114,22,0,20,196,67,0,1,67,10.0,4.0,45.0,15.0,1.0,5.0,0.295,0.407,0.506,0.914,0.408,144.5,3.21,2010,DH,1976-02-03,70000,35
115,김동주,1.25,66,245,223,18,65,5,0,2,76,27,3,1,16,2.0,0.0,24.0,7.0,0.0,4.0,0.29100000000000004,0.339,0.341,0.68,0.325,100.3,1.25,2012,3B,1976-02-03,70000,37
116,김동한,-0.1,81,205,178,26,42,19,0,3,70,14,4,3,14,0.0,0.0,25.0,2.0,13.0,0.0,0.236,0.292,0.393,0.685,0.285,56.4,-0.1,2017,3B,1988-06-24,6300,30
117,김동한,0.23,42,85,78,9,22,4,0,0,26,2,3,2,6,0.0,0.0,15.0,1.0,1.0,0.0,0.282,0.333,0.333,0.667,0.313,86.6,0.23,2019,2B,1988-06-24,4500,32
118,김동한,-0.54,78,116,107,9,27,6,0,0,33,14,5,1,6,0.0,0.0,19.0,1.0,3.0,0.0,0.252,0.292,0.308,0.6,0.275,46.2,-0.54,2016,2B,1988-06-24,3800,29
119,김문호,-0.03,46,115,100,12,25,7,0,2,38,16,1,0,13,0.0,1.0,27.0,2.0,2.0,0.0,,,,,,,-0.03,2018,LF,1987-06-22,15000,32
120,김문호,0.73,131,448,390,49,114,17,1,2,139,35,9,4,37,13.0,4.0,73.0,5.0,7.0,1.0,0.292,0.3720000000000001,0.35600000000000004,0.728,0.333,89.6,0.73,2017,LF,1987-06-22,15000,31
121,김문호,-0.15,56,95,79,10,16,3,0,0,19,2,1,3,11,3.0,1.0,22.0,1.0,2.0,0.0,,,,,,,-0.15,2012,LF,1987-06-22,3500,26
122,김문호,0.49,40,166,137,19,36,10,0,0,46,10,8,5,21,3.0,0.0,31.0,1.0,5.0,0.0,0.263,0.373,0.336,0.708,0.337,96.3,0.49,2013,LF,1987-06-22,4000,27
123,김문호,0.74,93,325,288,35,88,13,0,4,113,31,8,5,25,4.0,0.0,45.0,11.0,6.0,2.0,0.306,0.3670000000000001,0.392,0.759,0.345,98.5,0.74,2015,LF,1987-06-22,7000,29
124,김문호,-0.07,51,109,103,6,25,7,0,0,32,4,2,0,4,0.0,0.0,30.0,1.0,1.0,1.0,0.243,0.269,0.311,0.579,0.267,55.1,-0.07,2019,CF,1987-06-22,5000,33
125,김문호,-0.26,71,222,192,28,41,11,3,2,64,27,4,0,19,5.0,0.0,51.0,2.0,6.0,0.0,0.214,0.301,0.333,0.634,0.28800000000000003,53.6,-0.26,2014,LF,1987-06-22,7000,28
126,김문호,2.47,140,599,526,77,171,28,3,7,226,70,12,15,62,6.0,1.0,70.0,15.0,3.0,2.0,0.325,0.401,0.43,0.831,0.384,117.0,2.47,2016,LF,1987-06-22,14000,30
127,김민성,2.44,118,489,445,60,135,24,0,16,207,71,1,1,31,8.0,1.0,62.0,15.0,2.0,3.0,0.303,0.35700000000000004,0.465,0.823,0.365,108.2,2.44,2015,3B,1988-12-17,22000,28
128,김민성,3.37,141,579,510,76,156,39,5,17,256,90,6,3,53,3.0,3.0,89.0,15.0,1.0,12.0,0.306,0.3670000000000001,0.502,0.8690000000000001,0.38,111.6,3.37,2016,3B,1988-12-17,37000,29
